Период,Административна структура,Услуга №,Услуга,Общ брой,Брой издадени актове по ЗОАРАКСД и предоставени услуги за отчетния период - Други,Брой издадени актове по ЗОАРАКСД и предоставени услуги за отчетния период - Лиценз,Брой издадени актове по ЗОАРАКСД и предоставени услуги за отчетния период - Регистрация,Брой издадени актове по ЗОАРАКСД и предоставени услуги за отчетния период - Разрешение,Брой издадени актове по ЗОАРАКСД и предоставени услуги за отчетния период - Удостоверение,Брой издадени актове по ЗОАРАКСД и предоставени услуги за отчетния период - Уведомление,Брой издадени актове по ЗОАРАКСД и предоставени услуги за отчетния период - Съгласуване,Брой е-услуги,Такса/цена за предоставяне на услугата - Безплатна - Да/Не,Такса/цена за предоставяне на услугата - Безплатна - Брой,Такса/цена за предоставяне на услугата - С изчисляема такса/цена - Да/Не,Такса/цена за предоставяне на услугата - С изчисляема такса/цена - Брой,Такса/цена за предоставяне на услугата - Такса/Цена в лева - Обикновена - Такса/Цена в лв.,Такса/цена за предоставяне на услугата - Такса/Цена в лева - Обикновена - Брой,Такса/цена за предоставяне на услугата - Такса/Цена в лева - Бърза - Такса/Цена в лв.,Такса/цена за предоставяне на услугата - Такса/Цена в лева - Бърза - Брой,Такса/цена за предоставяне на услугата - Такса/Цена в лева - Експресна - Такса/Цена в лв.,Такса/цена за предоставяне на услугата - Такса/Цена в лева - Експресна - Брой
2020,Областна администрация - Благоевград,2,Предоставяне на достъп до обществена информация,5,5.0,,,,,,,2.0,Да,5.0,Не,,,,,,,
2020,Областна администрация - Благоевград,1961,"Разрешаване изработването на устройствени планове, които обхващат територии, попадащи в повече от една община или предвиждат изграждане на обекти с регионално значение",0,0.0,,,,,,,0.0,Да,0.0,Не,,,,,,,
2020,Областна администрация - Благоевград,1962,Издаване на удостоверение за въвеждане в експлоатация на строеж,0,0.0,,,,,,,0.0,Не,,Да,,,,,,,
2020,Областна администрация - Благоевград,1963,Справки по регистри и книги за имоти - частна и публична държавна собственост,81,81.0,,,,,,,2.0,Да,81.0,Не,,,,,,,
2020,Областна администрация - Благоевград,1966,"Издаване на заповед за разрешаване или отказ за изработването на проект за изменение на подробен устройствен план, който обхваща територии, попадащи в повече от една община или предвижда изграждане на обекти с регионално значение",0,0.0,,,,,,,0.0,Да,0.0,Не,,,,,,,
2020,Областна администрация - Благоевград,1967,Съгласуване на идейни инвестиционни проекти за обекти на техническата инфраструктура с обхват повече от една община или за обекти с регионално значение.,0,0.0,,,,,,,0.0,Не,,Да,,,,,,,
2020,Областна администрация - Благоевград,1968,Одобряване на инвестиционен проект - заснемане на извършен строеж,0,0.0,,,,,,,0.0,Не,,Да,,,,,,,
2020,Областна администрация - Благоевград,1969,Регистриране на технически паспорт на строеж,2,2.0,,,,,,,0.0,Да,2.0,Не,,,,,,,
2020,Областна администрация - Благоевград,1972,Издаване на удостоверение за наличие или липса на акт за държавна собственост на имот или за отписване на имота от актовите книги,1686,1686.0,,,,,,,4.0,Не,,Не,,10.0,910.0,15.0,776.0,0.0,0.0
2020,Областна администрация - Благоевград,1974,Издаване на разрешение за строеж за обекти на техническата инфраструктура с обхват повече от една община или за обекти с регионално значение,3,3.0,,,,,,,0.0,Не,,Да,3.0,,,,,,
2020,Областна администрация - Благоевград,1975,Издаване на заповед за изменения в одобрен инвестиционен проект,0,0.0,,,,,,,0.0,Не,,Да,0.0,0.0,,,,,
2020,Областна администрация - Благоевград,1976,Презаверяване на разрешение за строеж,0,,,,0.0,,,,0.0,Не,,Да,,,,,,,
2020,Областна администрация - Благоевград,1978,"Издаване на заверени копия от договори, заповеди и други документи от интерес на физическите и юридическите лица, от архив ""Държавна собственост""",8,8.0,,,,,,,8.0,Да,8.0,Не,,,,,,,
2020,Областна администрация - Благоевград,1979,Издаване на удостоверение за наличие или липса на претенции за възстановяване на собствеността,19,19.0,,,,,,,0.0,Не,,Не,,15.0,14.0,22.5,5.0,,
2020,Областна администрация - Благоевград,1980,"Приемане на екзекутивна документация, отразяваща несъществените промени в одобрения инвестиционен проект",0,0.0,,,,,,,0.0,Не,,Да,,,,,,,
2020,Областна администрация - Благоевград,1981,Одобряване на технически и работни инвестиционни проекти за обекти на техническата инфраструктура с обхват повече от една община или за обекти с регионално значение,1,1.0,,,,,,,0.0,Не,,Да,1.0,,,,,,
2020,Областна администрация - Благоевград,1983,Съставяне на акт за поправка на акт за държавна собственост,1,1.0,,,,,,,1.0,Да,1.0,Не,,,,,,,
2020,Областна администрация - Благоевград,1984,Одобряване на частите на комплексния проект за инвестиционна инициатива и издаване на разрешение за строеж,0,0.0,,,,,,,0.0,Не,,Да,,,,,,,
2020,Областна администрация - Благоевград,2133,Издаване на удостоверение за осигурителен стаж (УП 3),2,2.0,,,,,,,0.0,Да,2.0,Не,,,,,,,
2020,Областна администрация - Благоевград,2134,Издаване на удостоверение за осигурителен доход (УП 2),3,3.0,,,,,,,0.0,Да,3.0,Не,,,,,,,
2020,Областна администрация - Благоевград,2389,Разрешаване изработване на комплексен проект за инвестиционна инициатива,0,,,,0.0,,,,0.0,Да,,Не,,,,,,,
2020,Областна администрация - Благоевград,2469,Издаване на Заповед за учредяване на еднократно право на преминаване/прокарване на отклонения от общи мрежи и съоръжения на техническата инфраструктура през имот - държавна собственост.,2,,,,2.0,,,,0.0,Не,,Да,2.0,,,,,,
2020,Областна администрация - Благоевград,2529,Позволително за ползване на лечебните растения,0,,,,0.0,,,,0.0,Не,,Да,,,,,,,
2020,Областна администрация - Благоевград,2972,"Издаване на удостоверение APOSTILLE на документи, които са издадени от кметовете и общинските администрации",686,686.0,,,,,,,0.0,Не,,Не,,5.0,516.0,7.0,52.0,10.0,118.0
2020,Областна администрация - Бургас,2,Предоставяне на достъп до обществена информация,8,8.0,,,,,,,0.0,Да,8.0,Не,,,,,,,
2020,Областна администрация - Бургас,1961,"Разрешаване изработването на устройствени планове, които обхващат територии, попадащи в повече от една община или предвиждат изграждане на обекти с регионално значение",4,4.0,,,,,,,0.0,Да,4.0,Не,,,,,,,
2020,Областна администрация - Бургас,1962,Издаване на удостоверение за въвеждане в експлоатация на строеж,0,0.0,,,,,,,0.0,Не,,Да,0.0,,,,,,
2020,Областна администрация - Бургас,1963,Справки по регистри и книги за имоти - частна и публична държавна собственост,30,30.0,,,,,,,0.0,Да,30.0,Не,,,,,,,
2020,Областна администрация - Бургас,1966,"Издаване на заповед за разрешаване или отказ за изработването на проект за изменение на подробен устройствен план, който обхваща територии, попадащи в повече от една община или предвижда изграждане на обекти с регионално значение",0,0.0,,,,,,,0.0,Да,0.0,Не,,,,,,,
2020,Областна администрация - Бургас,1967,Съгласуване на идейни инвестиционни проекти за обекти на техническата инфраструктура с обхват повече от една община или за обекти с регионално значение.,0,0.0,,,,,,,0.0,Не,,Да,0.0,,,,,,
2020,Областна администрация - Бургас,1968,Одобряване на инвестиционен проект - заснемане на извършен строеж,0,0.0,,,,,,,0.0,Не,,Да,0.0,,,,,,
2020,Областна администрация - Бургас,1969,Регистриране на технически паспорт на строеж,4,4.0,,,,,,,0.0,Да,4.0,Не,,,,,,,
2020,Областна администрация - Бургас,1972,Издаване на удостоверение за наличие или липса на акт за държавна собственост на имот или за отписване на имота от актовите книги,938,938.0,,,,,,,0.0,Не,,Не,,10.0,854.0,15.0,84.0,,
2020,Областна администрация - Бургас,1974,Издаване на разрешение за строеж за обекти на техническата инфраструктура с обхват повече от една община или за обекти с регионално значение,7,7.0,,,,,,,0.0,Не,,Да,7.0,,,,,,
2020,Областна администрация - Бургас,1975,Издаване на заповед за изменения в одобрен инвестиционен проект,1,1.0,,,,,,,0.0,Не,,Да,1.0,,,,,,
2020,Областна администрация - Бургас,1976,Презаверяване на разрешение за строеж,1,,,,1.0,,,,0.0,Не,,Да,1.0,,,,,,
2020,Областна администрация - Бургас,1978,"Издаване на заверени копия от договори, заповеди и други документи от интерес на физическите и юридическите лица, от архив ""Държавна собственост""",24,24.0,,,,,,,0.0,Не,,Не,,2.5,24.0,,,,
2020,Областна администрация - Бургас,1979,Издаване на удостоверение за наличие или липса на претенции за възстановяване на собствеността,51,51.0,,,,,,,0.0,Не,,Не,,15.0,42.0,22.5,9.0,,
2020,Областна администрация - Бургас,1980,"Приемане на екзекутивна документация, отразяваща несъществените промени в одобрения инвестиционен проект",2,2.0,,,,,,,0.0,Не,,Да,2.0,,,,,,
2020,Областна администрация - Бургас,1981,Одобряване на технически и работни инвестиционни проекти за обекти на техническата инфраструктура с обхват повече от една община или за обекти с регионално значение,6,6.0,,,,,,,0.0,Не,,Да,6.0,,,,,,
2020,Областна администрация - Бургас,1983,Съставяне на акт за поправка на акт за държавна собственост,11,11.0,,,,,,,0.0,Да,11.0,Не,,,,,,,
2020,Областна администрация - Бургас,1984,Одобряване на частите на комплексния проект за инвестиционна инициатива и издаване на разрешение за строеж,0,0.0,,,,,,,0.0,Не,,Да,0.0,,,,,,
2020,Областна администрация - Бургас,2133,Издаване на удостоверение за осигурителен стаж (УП 3),3,3.0,,,,,,,0.0,Да,3.0,Не,,,,,,,
2020,Областна администрация - Бургас,2134,Издаване на удостоверение за осигурителен доход (УП 2),3,3.0,,,,,,,0.0,Да,3.0,Не,,,,,,,
2020,Областна администрация - Бургас,2389,Разрешаване изработване на комплексен проект за инвестиционна инициатива,0,,,,0.0,,,,0.0,Да,0.0,Не,,,,,,,
2020,Областна администрация - Бургас,2469,Издаване на Заповед за учредяване на еднократно право на преминаване/прокарване на отклонения от общи мрежи и съоръжения на техническата инфраструктура през имот - държавна собственост.,0,,,,0.0,,,,0.0,Да,0.0,Не,,,,,,,
2020,Областна администрация - Бургас,2529,Позволително за ползване на лечебните растения,0,,,,0.0,,,,0.0,Не,,Да,0.0,,,,,,
2020,Областна администрация - Бургас,2972,"Издаване на удостоверение APOSTILLE на документи, които са издадени от кметовете и общинските администрации",1636,1636.0,,,,,,,0.0,Не,,Не,,5.0,1636.0,,,,
2020,Областна администрация - Варна,2,Предоставяне на достъп до обществена информация,0,,,,,,,,,Не,,Да,,,,,,,
2020,Областна администрация - Варна,1961,"Разрешаване изработването на устройствени планове, които обхващат територии, попадащи в повече от една община или предвиждат изграждане на обекти с регионално значение",0,,,,,,,,,Да,,Не,,,,,,,
2020,Областна администрация - Варна,1962,Издаване на удостоверение за въвеждане в експлоатация на строеж,0,,,,,,,,,Да,,Не,,,,,,,
2020,Областна администрация - Варна,1963,Справки по регистри и книги за имоти - частна и публична държавна собственост,0,,,,,,,,,Да,,Не,,,,,,,
2020,Областна администрация - Варна,1966,"Издаване на заповед за разрешаване или отказ за изработването на проект за изменение на подробен устройствен план, който обхваща територии, попадащи в повече от една община или предвижда изграждане на обекти с регионално значение",0,,,,,,,,,Да,,Не,,,,,,,
2020,Областна администрация - Варна,1967,Съгласуване на идейни инвестиционни проекти за обекти на техническата инфраструктура с обхват повече от една община или за обекти с регионално значение.,0,,,,,,,,,Не,,Да,,,,,,,
2020,Областна администрация - Варна,1968,Одобряване на инвестиционен проект - заснемане на извършен строеж,0,,,,,,,,,Не,,Да,,,,,,,
2020,Областна администрация - Варна,1969,Регистриране на технически паспорт на строеж,4,4.0,,,,,,,,Да,4.0,Не,,,,,,,
2020,Областна администрация - Варна,1972,Издаване на удостоверение за наличие или липса на акт за държавна собственост на имот или за отписване на имота от актовите книги,628,628.0,,,,,,,,Не,,Не,,10.0,628.0,15.0,,,
2020,Областна администрация - Варна,1974,Издаване на разрешение за строеж за обекти на техническата инфраструктура с обхват повече от една община или за обекти с регионално значение,5,5.0,,,,,,,,Не,,Да,5.0,,,,,,
2020,Областна администрация - Варна,1975,Издаване на заповед за изменения в одобрен инвестиционен проект,2,2.0,,,,,,,,Не,,Да,2.0,,,,,,
2020,Областна администрация - Варна,1976,Презаверяване на разрешение за строеж,0,,,,,,,,,Не,,Да,,,,,,,
2020,Областна администрация - Варна,1978,"Издаване на заверени копия от договори, заповеди и други документи от интерес на физическите и юридическите лица, от архив ""Държавна собственост""",7,7.0,,,,,,,,Не,,Да,7.0,,,,,,
2020,Областна администрация - Варна,1979,Издаване на удостоверение за наличие или липса на претенции за възстановяване на собствеността,28,28.0,,,,,,,,Не,,Не,,15.0,28.0,22.5,,,
2020,Областна администрация - Варна,1980,"Приемане на екзекутивна документация, отразяваща несъществените промени в одобрения инвестиционен проект",2,2.0,,,,,,,,Не,,Да,2.0,,,,,,
2020,Областна администрация - Варна,1981,Одобряване на технически и работни инвестиционни проекти за обекти на техническата инфраструктура с обхват повече от една община или за обекти с регионално значение,7,7.0,,,,,,,,Не,,Да,7.0,,,,,,
2020,Областна администрация - Варна,1983,Съставяне на акт за поправка на акт за държавна собственост,3,3.0,,,,,,,,Да,3.0,Не,,,,,,,
2020,Областна администрация - Варна,1984,Одобряване на частите на комплексния проект за инвестиционна инициатива и издаване на разрешение за строеж,0,,,,,,,,,Не,,Да,,,,,,,
2020,Областна администрация - Варна,2133,Издаване на удостоверение за осигурителен стаж (УП 3),20,20.0,,,,,,,,Да,20.0,Не,,,,,,,
2020,Областна администрация - Варна,2134,Издаване на удостоверение за осигурителен доход (УП 2),8,8.0,,,,,,,,Да,8.0,Не,,,,,,,
2020,Областна администрация - Варна,2389,Разрешаване изработване на комплексен проект за инвестиционна инициатива,0,,,,,,,,,Да,,Не,,,,,,,
2020,Областна администрация - Варна,2469,Издаване на Заповед за учредяване на еднократно право на преминаване/прокарване на отклонения от общи мрежи и съоръжения на техническата инфраструктура през имот - държавна собственост.,4,,,,4.0,,,,,Да,4.0,Не,,,,,,,
2020,Областна администрация - Варна,2529,Позволително за ползване на лечебните растения,0,,,,,,,,,Не,,Да,,,,,,,
2020,Областна администрация - Варна,2972,"Издаване на удостоверение APOSTILLE на документи, които са издадени от кметовете и общинските администрации",1975,1975.0,,,,,,,,Не,,Не,,5.0,1975.0,,,,
2020,Областна администрация - Велико Търново,2,Предоставяне на достъп до обществена информация,3,3.0,,,,,,,3.0,Не,,Да,3.0,,,,,,
2020,Областна администрация - Велико Търново,1961,"Разрешаване изработването на устройствени планове, които обхващат територии, попадащи в повече от една община или предвиждат изграждане на обекти с регионално значение",0,0.0,,,,,,,,Да,,Не,,,,,,,
2020,Областна администрация - Велико Търново,1962,Издаване на удостоверение за въвеждане в експлоатация на строеж,0,0.0,,,,,,,,Не,,Да,,,,,,,
2020,Областна администрация - Велико Търново,1963,Справки по регистри и книги за имоти - частна и публична държавна собственост,14,14.0,,,,,,,,Да,14.0,Не,,,,,,,
2020,Областна администрация - Велико Търново,1966,"Издаване на заповед за разрешаване или отказ за изработването на проект за изменение на подробен устройствен план, който обхваща територии, попадащи в повече от една община или предвижда изграждане на обекти с регионално значение",0,0.0,,,,,,,,Да,,Не,,,,,,,
2020,Областна администрация - Велико Търново,1967,Съгласуване на идейни инвестиционни проекти за обекти на техническата инфраструктура с обхват повече от една община или за обекти с регионално значение.,0,0.0,,,,,,,,Не,,Да,,,,,,,
2020,Областна администрация - Велико Търново,1968,Одобряване на инвестиционен проект - заснемане на извършен строеж,0,0.0,,,,,,,,Не,,Да,,,,,,,
2020,Областна администрация - Велико Търново,1969,Регистриране на технически паспорт на строеж,0,0.0,,,,,,,,Да,,Не,,,,,,,
2020,Областна администрация - Велико Търново,1972,Издаване на удостоверение за наличие или липса на акт за държавна собственост на имот или за отписване на имота от актовите книги,636,636.0,,,,,,,,Не,,Не,,10.0,382.0,15.0,254.0,,
2020,Областна администрация - Велико Търново,1974,Издаване на разрешение за строеж за обекти на техническата инфраструктура с обхват повече от една община или за обекти с регионално значение,0,0.0,,,,,,,,Не,,Да,,,,,,,
2020,Областна администрация - Велико Търново,1975,Издаване на заповед за изменения в одобрен инвестиционен проект,0,0.0,,,,,,,,Не,,Да,,,,,,,
2020,Областна администрация - Велико Търново,1976,Презаверяване на разрешение за строеж,0,,,,0.0,,,,,Не,,Да,,,,,,,
2020,Областна администрация - Велико Търново,1978,"Издаване на заверени копия от договори, заповеди и други документи от интерес на физическите и юридическите лица, от архив ""Държавна собственост""",126,126.0,,,,,,,,Да,126.0,Не,,,,,,,
2020,Областна администрация - Велико Търново,1979,Издаване на удостоверение за наличие или липса на претенции за възстановяване на собствеността,33,33.0,,,,,,,,Не,,Не,,15.0,19.0,22.5,14.0,,
2020,Областна администрация - Велико Търново,1980,"Приемане на екзекутивна документация, отразяваща несъществените промени в одобрения инвестиционен проект",0,0.0,,,,,,,,Не,,Да,,,,,,,
2020,Областна администрация - Велико Търново,1981,Одобряване на технически и работни инвестиционни проекти за обекти на техническата инфраструктура с обхват повече от една община или за обекти с регионално значение,0,0.0,,,,,,,,Не,,Да,,,,,,,
2020,Областна администрация - Велико Търново,1983,Съставяне на акт за поправка на акт за държавна собственост,1,1.0,,,,,,,,Да,1.0,Не,,,,,,,
2020,Областна администрация - Велико Търново,1984,Одобряване на частите на комплексния проект за инвестиционна инициатива и издаване на разрешение за строеж,0,0.0,,,,,,,,Не,,Да,,,,,,,
2020,Областна администрация - Велико Търново,2133,Издаване на удостоверение за осигурителен стаж (УП 3),0,0.0,,,,,,,,Да,,Не,,,,,,,
2020,Областна администрация - Велико Търново,2134,Издаване на удостоверение за осигурителен доход (УП 2),0,0.0,,,,,,,,Да,,Не,,,,,,,
2020,Областна администрация - Велико Търново,2389,Разрешаване изработване на комплексен проект за инвестиционна инициатива,0,,,,0.0,,,,,Да,,Не,,,,,,,
2020,Областна администрация - Велико Търново,2469,Издаване на Заповед за учредяване на еднократно право на преминаване/прокарване на отклонения от общи мрежи и съоръжения на техническата инфраструктура през имот - държавна собственост.,0,,,,0.0,,,,,Да,,Не,,,,,,,
2020,Областна администрация - Велико Търново,2529,Позволително за ползване на лечебните растения,0,,,,0.0,,,,,Не,,Да,,,,,,,
2020,Областна администрация - Велико Търново,2972,"Издаване на удостоверение APOSTILLE на документи, които са издадени от кметовете и общинските администрации",335,335.0,,,,,,,,Не,,Не,,5.0,251.0,7.5,61.0,10.0,23.0
2020,Областна администрация - Видин,2,Предоставяне на достъп до обществена информация,3,3.0,,,,,,,3.0,Да,3.0,Не,,,,,,,
2020,Областна администрация - Видин,1961,"Разрешаване изработването на устройствени планове, които обхващат територии, попадащи в повече от една община или предвиждат изграждане на обекти с регионално значение",0,0.0,,,,,,,0.0,Да,0.0,Не,,,,,,,
2020,Областна администрация - Видин,1962,Издаване на удостоверение за въвеждане в експлоатация на строеж,0,0.0,,,,,,,0.0,Не,,Да,0.0,,,,,,
2020,Областна администрация - Видин,1963,Справки по регистри и книги за имоти - частна и публична държавна собственост,469,469.0,,,,,,,3.0,Да,469.0,Не,,,,,,,
2020,Областна администрация - Видин,1966,"Издаване на заповед за разрешаване или отказ за изработването на проект за изменение на подробен устройствен план, който обхваща територии, попадащи в повече от една община или предвижда изграждане на обекти с регионално значение",0,0.0,,,,,,,0.0,Да,0.0,Не,,,,,,,
2020,Областна администрация - Видин,1967,Съгласуване на идейни инвестиционни проекти за обекти на техническата инфраструктура с обхват повече от една община или за обекти с регионално значение.,0,0.0,,,,,,,0.0,Не,,Да,0.0,,,,,,
2020,Областна администрация - Видин,1968,Одобряване на инвестиционен проект - заснемане на извършен строеж,0,0.0,,,,,,,0.0,Не,,Да,0.0,,,,,,
2020,Областна администрация - Видин,1969,Регистриране на технически паспорт на строеж,0,0.0,,,,,,,0.0,Да,0.0,Не,,,,,,,
2020,Областна администрация - Видин,1972,Издаване на удостоверение за наличие или липса на акт за държавна собственост на имот или за отписване на имота от актовите книги,24,24.0,,,,,,,0.0,Не,,Не,,10.0,14.0,15.0,10.0,,
2020,Областна администрация - Видин,1974,Издаване на разрешение за строеж за обекти на техническата инфраструктура с обхват повече от една община или за обекти с регионално значение,0,0.0,,,,,,,0.0,Не,,Да,0.0,,,,,,
2020,Областна администрация - Видин,1975,Издаване на заповед за изменения в одобрен инвестиционен проект,0,0.0,,,,,,,0.0,Не,,Да,0.0,,,,,,
2020,Областна администрация - Видин,1976,Презаверяване на разрешение за строеж,0,,,,0.0,,,,0.0,Не,,Да,0.0,,,,,,
2020,Областна администрация - Видин,1978,"Издаване на заверени копия от договори, заповеди и други документи от интерес на физическите и юридическите лица, от архив ""Държавна собственост""",37,37.0,,,,,,,10.0,Да,37.0,Не,,,,,,,
2020,Областна администрация - Видин,1979,Издаване на удостоверение за наличие или липса на претенции за възстановяване на собствеността,10,10.0,,,,,,,3.0,Не,,Не,,15.0,7.0,23.0,3.0,0.0,0.0
2020,Областна администрация - Видин,1980,"Приемане на екзекутивна документация, отразяваща несъществените промени в одобрения инвестиционен проект",0,0.0,,,,,,,0.0,Не,,Да,0.0,,,,,,
2020,Областна администрация - Видин,1981,Одобряване на технически и работни инвестиционни проекти за обекти на техническата инфраструктура с обхват повече от една община или за обекти с регионално значение,0,0.0,,,,,,,0.0,Не,,Да,0.0,,,,,,
2020,Областна администрация - Видин,1983,Съставяне на акт за поправка на акт за държавна собственост,0,0.0,,,,,,,0.0,Да,0.0,Не,,,,,,,
2020,Областна администрация - Видин,1984,Одобряване на частите на комплексния проект за инвестиционна инициатива и издаване на разрешение за строеж,0,0.0,,,,,,,0.0,Не,,Да,,,,,,,
2020,Областна администрация - Видин,2133,Издаване на удостоверение за осигурителен стаж (УП 3),2,2.0,,,,,,,0.0,Да,2.0,Не,,,,,,,
2020,Областна администрация - Видин,2134,Издаване на удостоверение за осигурителен доход (УП 2),4,4.0,,,,,,,0.0,Да,4.0,Не,,,,,,,
2020,Областна администрация - Видин,2389,Разрешаване изработване на комплексен проект за инвестиционна инициатива,0,,,,0.0,,,,0.0,Да,0.0,Не,,,,,,,
2020,Областна администрация - Видин,2469,Издаване на Заповед за учредяване на еднократно право на преминаване/прокарване на отклонения от общи мрежи и съоръжения на техническата инфраструктура през имот - държавна собственост.,0,,,,0.0,,,,0.0,Да,0.0,Не,,,,,,,
2020,Областна администрация - Видин,2529,Позволително за ползване на лечебните растения,0,,,,0.0,,,,0.0,Не,,Да,0.0,,,,,,
2020,Областна администрация - Видин,2972,"Издаване на удостоверение APOSTILLE на документи, които са издадени от кметовете и общинските администрации",278,278.0,,,,,,,0.0,Не,,Не,,5.0,278.0,,,,
2020,Областна администрация - Враца,2,Предоставяне на достъп до обществена информация,5,5.0,,,,,,,5.0,Да,5.0,Не,,,,,,,
2020,Областна администрация - Враца,1961,"Разрешаване изработването на устройствени планове, които обхващат територии, попадащи в повече от една община или предвиждат изграждане на обекти с регионално значение",0,0.0,,,,,,,0.0,Да,0.0,Не,,,,,,,
2020,Областна администрация - Враца,1962,Издаване на удостоверение за въвеждане в експлоатация на строеж,0,0.0,,,,,,,0.0,Не,,Да,0.0,,,,,,
2020,Областна администрация - Враца,1963,Справки по регистри и книги за имоти - частна и публична държавна собственост,0,0.0,,,,,,,0.0,Да,0.0,Не,,,,,,,
2020,Областна администрация - Враца,1966,"Издаване на заповед за разрешаване или отказ за изработването на проект за изменение на подробен устройствен план, който обхваща територии, попадащи в повече от една община или предвижда изграждане на обекти с регионално значение",0,0.0,,,,,,,0.0,Да,0.0,Не,,,,,,,
2020,Областна администрация - Враца,1967,Съгласуване на идейни инвестиционни проекти за обекти на техническата инфраструктура с обхват повече от една община или за обекти с регионално значение.,0,0.0,,,,,,,0.0,Не,,Да,0.0,,,,,,
2020,Областна администрация - Враца,1968,Одобряване на инвестиционен проект - заснемане на извършен строеж,0,0.0,,,,,,,0.0,Не,,Да,0.0,,,,,,
2020,Областна администрация - Враца,1969,Регистриране на технически паспорт на строеж,0,0.0,,,,,,,0.0,Да,0.0,Не,,,,,,,
2020,Областна администрация - Враца,1972,Издаване на удостоверение за наличие или липса на акт за държавна собственост на имот или за отписване на имота от актовите книги,815,815.0,,,,,,,0.0,Не,,Не,,10.0,487.0,15.0,328.0,0.0,
2020,Областна администрация - Враца,1974,Издаване на разрешение за строеж за обекти на техническата инфраструктура с обхват повече от една община или за обекти с регионално значение,0,0.0,,,,,,,0.0,Не,,Да,,,,,,,
2020,Областна администрация - Враца,1975,Издаване на заповед за изменения в одобрен инвестиционен проект,0,0.0,,,,,,,0.0,Не,,Да,0.0,,,,,,
2020,Областна администрация - Враца,1976,Презаверяване на разрешение за строеж,0,,,,0.0,,,,0.0,Не,,Да,0.0,,,,,,
2020,Областна администрация - Враца,1978,"Издаване на заверени копия от договори, заповеди и други документи от интерес на физическите и юридическите лица, от архив ""Държавна собственост""",17,17.0,,,,,,,0.0,Да,17.0,Не,,,,,,,
2020,Областна администрация - Враца,1979,Издаване на удостоверение за наличие или липса на претенции за възстановяване на собствеността,4,4.0,,,,,,,0.0,Не,,Не,,15.0,3.0,23.0,1.0,,
2020,Областна администрация - Враца,1980,"Приемане на екзекутивна документация, отразяваща несъществените промени в одобрения инвестиционен проект",0,0.0,,,,,,,0.0,Не,,Да,0.0,,,,,,
2020,Областна администрация - Враца,1981,Одобряване на технически и работни инвестиционни проекти за обекти на техническата инфраструктура с обхват повече от една община или за обекти с регионално значение,0,0.0,,,,,,,0.0,Не,,Да,0.0,,,,,,
2020,Областна администрация - Враца,1983,Съставяне на акт за поправка на акт за държавна собственост,0,0.0,,,,,,,0.0,Да,0.0,Не,,,,,,,
2020,Областна администрация - Враца,1984,Одобряване на частите на комплексния проект за инвестиционна инициатива и издаване на разрешение за строеж,0,0.0,,,,,,,0.0,Не,,Да,0.0,,,,,,
2020,Областна администрация - Враца,2133,Издаване на удостоверение за осигурителен стаж (УП 3),3,3.0,,,,,,,0.0,Да,3.0,Не,,,,,,,
2020,Областна администрация - Враца,2134,Издаване на удостоверение за осигурителен доход (УП 2),0,0.0,,,,,,,0.0,Да,0.0,Не,,,,,,,
2020,Областна администрация - Враца,2389,Разрешаване изработване на комплексен проект за инвестиционна инициатива,0,,,,0.0,,,,0.0,Да,0.0,Не,,,,,,,
2020,Областна администрация - Враца,2469,Издаване на Заповед за учредяване на еднократно право на преминаване/прокарване на отклонения от общи мрежи и съоръжения на техническата инфраструктура през имот - държавна собственост.,2,,,,2.0,,,,0.0,Да,2.0,Не,,,,,,,
2020,Областна администрация - Враца,2529,Позволително за ползване на лечебните растения,0,,,,0.0,,,,0.0,Не,,Да,0.0,,,,,,
2020,Областна администрация - Враца,2972,"Издаване на удостоверение APOSTILLE на документи, които са издадени от кметовете и общинските администрации",218,218.0,,,,,,,,Не,,Не,,5.0,218.0,,,,
